id,query,status,date,timestamp,resp_text,body
Q-001,Which users have admin/VM operator roles on VMs,500,2025-10-03,2025-10-03 16:41:53,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-002,List VMs and their owner users,500,2025-10-03,2025-10-03 16:41:53,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-003,Show VMs without Per-VM EVC configured where cross-cluster mobility is needed,500,2025-10-03,2025-10-03 16:41:54,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-004,Report VMs with RDMs or mounted ISOs (migration blockers),500,2025-10-03,2025-10-03 16:41:55,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-005,Show CPU and memory trend for VM web-prod-01 in last 24 hours,500,2025-10-03,2025-10-03 16:41:55,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-006,Show me top 5 VMs by memory usage,500,2025-10-03,2025-10-03 16:41:56,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-007,List failed SSH/logins per user on hosts,500,2025-10-03,2025-10-03 16:41:57,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-008,List datastores connected to each host,500,2025-10-03,2025-10-03 16:41:57,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-009,Show ESXi hosts memory utilization,500,2025-10-03,2025-10-03 16:41:58,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-010,List which users have SSH enabled on hosts,500,2025-10-03,2025-10-03 16:41:59,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
